id,HoraFecha,h2
731,16:07:59 2/4/2022,97
732,16:14:53 2/4/2022,97
733,16:21:48 2/4/2022,97
734,16:28:41 2/4/2022,96
735,16:35:27 2/4/2022,96
736,16:42:18 2/4/2022,96
737,16:49:10 2/4/2022,96
738,16:55:52 2/4/2022,96
739,17:02:39 2/4/2022,96
740,17:09:23 2/4/2022,95
741,17:16:19 2/4/2022,95
742,17:23:14 2/4/2022,94
743,17:30:17 2/4/2022,94
744,17:37:11 2/4/2022,94
745,17:44:07 2/4/2022,94
746,17:50:56 2/4/2022,94
747,17:57:59 2/4/2022,94
748,18:05:41 2/4/2022,94
749,18:08:27 2/4/2022,92
750,18:18:36 2/4/2022,89
751,18:21:30 2/4/2022,84
752,18:30:56 2/4/2022,71
753,18:39:16 2/4/2022,49
754,18:46:26 2/4/2022,42
755,18:53:32 2/4/2022,40
756,19:01:08 2/4/2022,38
757,19:08:16 2/4/2022,40
758,19:15:09 2/4/2022,39
759,19:22:00 2/4/2022,40
760,19:29:22 2/4/2022,39
761,19:37:13 2/4/2022,39
762,19:44:49 2/4/2022,39
763,19:52:57 2/4/2022,39
764,20:00:31 2/4/2022,38
765,20:07:56 2/4/2022,39
766,20:15:26 2/4/2022,40
767,20:23:08 2/4/2022,39
768,20:30:17 2/4/2022,39
769,20:37:41 2/4/2022,39
770,20:45:27 2/4/2022,39
771,20:51:11 2/4/2022,40
772,21:00:55 2/4/2022,40
773,21:08:19 2/4/2022,40
774,21:15:34 2/4/2022,39
775,21:22:57 2/4/2022,41
776,21:30:28 2/4/2022,39
777,21:38:00 2/4/2022,40
778,21:45:32 2/4/2022,39
779,21:52:40 2/4/2022,39
780,21:59:42 2/4/2022,39
781,22:06:23 2/4/2022,39
782,22:13:09 2/4/2022,40
783,22:20:07 2/4/2022,40
784,22:26:54 2/4/2022,38
785,22:33:54 2/4/2022,40
786,22:40:43 2/4/2022,39
787,22:47:37 2/4/2022,39
788,22:54:34 2/4/2022,38
789,23:01:16 2/4/2022,38
790,23:08:08 2/4/2022,38
791,23:15:09 2/4/2022,38
792,23:21:50 2/4/2022,38
793,23:28:34 2/4/2022,37
794,23:35:21 2/4/2022,37
795,23:42:07 2/4/2022,37
796,23:48:50 2/4/2022,38
797,23:55:38 2/4/2022,39
798,00:02:25 3/4/2022,37
799,00:09:11 3/4/2022,38
800,00:16:02 3/4/2022,36
801,00:22:49 3/4/2022,39
802,00:27:50 3/4/2022,37
803,00:36:23 3/4/2022,38
804,00:43:09 3/4/2022,37
805,00:49:50 3/4/2022,37
806,00:56:30 3/4/2022,39
807,01:03:11 3/4/2022,37
808,01:09:53 3/4/2022,37
809,01:16:38 3/4/2022,37
810,01:23:21 3/4/2022,38
811,01:30:09 3/4/2022,37
812,01:36:51 3/4/2022,37
813,01:43:35 3/4/2022,37
814,01:50:17 3/4/2022,38
815,01:57:01 3/4/2022,38
816,02:03:32 3/4/2022,38
817,02:10:21 3/4/2022,37
818,02:17:01 3/4/2022,36
819,02:23:43 3/4/2022,37
